amount,sex,month,day,grade
30.9,female,3,1,3
29.2,name,3,1,2
31,female,3,1,1
,name,4,1,4
31.8,female,5,1,1
27.7,name,5,1,4
28,female,4,1,1
28.1,name,5,1,2
30.6,female,4,1,3
29.8,name,3,1,4
32,female,5,1,1
31.9,name,4,1,3
31.9,female,3,1,4
28.8,name,5,1,4
27.7,female,4,1,2
31.2,name,5,1,2
29.7,female,3,1,1
28.8,name,3,1,3
29.1,female,5,1,2
31.8,name,4,1,4
31.2,female,5,1,3
27.2,name,3,1,2
27,female,5,1,2
27.9,name,5,1,4
27.8,female,3,1,3
29.3,name,3,1,3
29.8,female,5,1,3
31,name,4,1,1
29.1,female,5,1,2
31.5,name,3,1,3
28.1,female,5,1,4
27.5,name,3,1,4
30.2,female,3,1,2
28.3,name,3,1,3
29.1,female,5,1,3
27,name,3,1,2
27.7,female,3,1,1
29.9,name,4,1,3
28.1,female,5,1,4
28,name,4,2,2
30.9,female,5,2,4
27.5,name,5,2,1
31.4,female,5,2,2
27.7,name,3,2,1
31.9,female,3,2,3
30.6,name,5,2,1
31.6,female,3,2,4
27.1,name,3,2,2
27.1,female,4,2,2
29.7,name,3,2,1
29.4,female,5,2,2
27.4,name,4,2,3
30.3,female,3,2,3
28.7,name,4,2,2
27.5,female,3,2,3
29.5,name,4,2,1
31.8,female,5,2,4
31.8,name,3,2,2
29.3,female,5,2,1
31.2,name,5,2,2
30,female,3,2,3
28.3,name,5,2,3
27.3,female,3,2,2
27.5,name,3,2,1
30.8,female,5,2,2
30,name,4,2,1
27.5,female,4,2,4
29.4,name,4,2,1
30.8,female,3,2,2
27.3,,5,2,3
28.5,female,5,2,3
28.7,name,3,2,2
30.8,female,4,2,2
30.9,name,5,2,4
27.4,female,5,2,3
31.4,name,4,2,3
31.9,female,4,2,4
29.2,name,3,2,2
25.9,female,3,2,3
27.3,name,3,2,3
25.5,female,3,2,2
29.8,name,5,2,3
27.3,female,5,2,1
31.1,name,3,2,3
30.2,female,3,2,4
28.2,name,4,2,1
30.7,female,5,2,3
29.9,name,3,2,1
25.5,female,3,2,3
28.9,name,5,3,2
27.1,female,5,3,1
28.3,name,,3,2
28.6,female,3,3,4
28.4,name,4,3,4
26.1,female,4,3,4
27.9,name,3,3,3
29.8,female,3,3,1
30.3,name,3,3,2
27.8,female,3,3,1
28,name,5,3,1
31.1,female,4,3,4
29.6,name,3,3,3
27,female,5,3,4
26.7,name,5,3,1
29.6,female,3,3,1
27.5,name,5,3,4
26.6,female,4,3,1
29.4,name,3,3,3
27.3,female,3,3,2
31.9,name,3,3,2
26.4,female,3,3,1
31.5,name,3,3,3
27.5,female,4,3,3
28.8,name,3,3,4
25.3,female,4,3,4
26.6,name,3,3,2
28.4,female,5,3,4
31.8,name,5,3,3
25.7,female,3,3,2
31.5,name,4,3,
29.5,female,4,3,4
25.2,name,4,3,3
26.3,female,4,3,4
29.1,name,3,3,2
29.2,female,4,3,1
26.6,name,3,3,2
28.9,female,3,3,3
27.5,name,3,3,4
27.2,female,4,3,3
27.9,name,4,3,4
31.2,female,5,3,4
29,name,4,3,4
29.1,female,5,3,4
30.2,name,5,3,4
30.3,female,4,3,1
25.4,name,5,3,4
27.8,female,4,3,1
25.1,name,3,4,1
22.1,female,4,4,3
25.1,name,3,4,2
21.5,female,4,4,4
20,name,3,4,2
26.3,female,3,4,2
28.1,name,3,4,2
26.5,female,3,4,1
27.4,name,4,4,2
27.4,female,5,4,2
23.9,name,3,4,2
26.5,female,3,4,4
28.2,name,5,4,2
26.4,female,3,4,3
29,name,3,4,4
28.8,female,3,4,2
27.1,name,5,4,2
25.7,,5,4,1
24.5,name,5,4,2
26.6,female,3,4,3
27.3,name,5,4,4
28.5,female,5,4,1
27,name,5,4,2
26,female,5,4,1
23.7,name,4,4,3
28.1,female,4,4,2
22.4,name,3,4,2
29.7,female,5,4,2
20.6,name,5,4,1
27.2,female,5,4,2
20.7,name,5,4,1
21.4,female,3,4,3
29.9,name,5,4,2
20.1,female,5,4,1
23.1,name,4,4,4
26.3,female,4,4,2
27.3,name,5,4,1
24.4,female,5,4,3
27.4,name,3,4,4
26.9,female,3,4,2
22.5,name,3,4,4
27.5,female,5,4,3
24.4,name,3,4,3
26.6,female,3,4,3
25.2,name,3,4,4
22.6,female,3,4,2
29.4,name,5,4,4
24.3,female,5,4,1
23.3,name,4,4,1
22.3,female,3,4,4
21.4,name,3,4,4
22.3,female,3,4,3
27.6,name,3,4,4
26.9,female,5,4,1
24.4,name,3,4,1
24.8,female,3,4,1
27.1,name,3,4,2
25.7,female,4,4,4
29,name,4,4,1
20,female,4,5,3
21.8,name,3,5,4
22.5,female,3,5,1
26.3,name,4,5,4
26,female,4,5,1
24.2,name,3,5,1
20.1,female,5,5,3
20.9,name,4,5,1
24.9,female,3,5,1
21.5,name,4,5,1
28.6,female,4,5,2
22,name,3,5,1
20.8,female,4,5,3
25,name,4,5,1
22.2,female,5,5,2
28.4,name,3,5,1
,female,3,5,2
20.2,name,4,5,1
22,female,4,5,1
26.5,name,4,5,3
24,female,3,5,1
21.6,name,5,5,4
20.3,female,3,5,3
25.1,name,3,5,1
28.4,female,4,5,3
24.3,name,4,5,3
25.1,female,4,5,3
21.4,name,3,5,4
24.7,female,5,5,2
20.2,name,5,5,3
29.5,female,5,5,1
29.7,name,3,5,4
27.8,female,3,5,4
23.8,name,4,5,3
20.8,female,3,5,2
24.3,name,4,5,3
21.8,female,5,5,2
23.9,name,3,5,4
27.3,female,4,5,1
25.6,name,4,5,3
29.6,female,4,5,3
27.1,name,4,5,1
22.3,female,3,5,4
24.3,name,4,5,4
25.6,female,5,5,3
20.3,name,5,5,2
26.4,female,3,5,3
28.5,name,5,6,4
29.3,female,3,6,4
30.4,name,5,6,4
30.2,female,5,6,1
29.4,name,5,6,3
27.9,female,3,6,3
29.5,name,4,6,1
30.7,female,3,6,1
31.4,name,3,6,4
28.1,female,4,6,1
28.3,name,5,6,2
31.9,female,4,6,1
29.3,name,5,6,1
27.3,female,4,6,4
29.3,name,3,6,2
30.7,female,5,6,3
32,name,5,6,2
31.2,female,5,6,1
28.3,name,4,6,4
27.7,female,5,6,4
27.4,name,5,6,4
31,female,4,6,3
32,name,5,6,4
29.3,female,3,6,3
28.9,name,3,6,4
28.2,female,4,6,2
28.1,name,4,,1
31.9,female,3,6,3
30.7,name,4,6,3
28.8,female,3,6,4
28.8,name,5,6,4
29.9,female,5,6,3
31.2,name,3,6,4
29.4,female,3,6,4
30.6,name,5,6,4
31.1,female,3,6,2
27.2,name,5,6,1
31.4,female,4,6,3
28.1,name,3,6,3
27.4,female,5,6,1
29,name,5,6,3
31.8,female,4,6,3
29.9,name,4,6,3
30.7,female,5,6,3
28.5,name,4,6,1
31.5,female,3,6,1
27.7,name,3,7,3
28.4,female,4,7,4
28.5,name,5,7,4
27.2,female,4,7,3
28,name,5,7,2
27.1,female,5,7,1
29.5,name,4,7,4
29.1,female,3,7,1
27.3,name,5,7,2
31.9,female,4,7,4
31.1,name,3,7,1
30.6,female,5,7,3
27.5,name,5,7,1
29.4,female,4,7,2
31.4,name,3,7,4
31.9,female,5,7,4
30.8,name,3,7,2
29.5,female,5,7,2
30.7,name,3,7,4
29.1,female,5,7,1
28.5,name,5,7,1
30.7,female,4,7,2
31.5,name,3,7,4
29.3,female,3,7,1
28.6,name,5,7,3
29.7,female,5,7,4
28.1,name,3,7,4
28.1,female,3,7,4
30.2,name,3,7,3
29.3,female,3,7,2
29.5,name,5,7,4
31.3,female,5,7,2
28.2,name,5,7,3
30.8,female,4,7,1
31.4,name,4,7,1
30.2,female,3,7,2
31,,3,7,1
28.4,female,3,7,2
31.7,name,5,7,2
31,female,4,7,4
27.3,name,3,7,4
28.7,female,4,7,3
30.6,name,4,7,2
28.6,female,5,7,4
34.4,name,3,7,4
33.1,female,4,7,2
28.6,name,4,7,2
35.6,female,4,8,4
33.8,name,5,8,3
33.9,female,3,8,1
31.8,name,5,8,2
35.7,female,4,8,2
37.5,name,3,8,2
35.9,female,4,8,1
29.7,name,3,8,2
31.2,female,4,8,3
31.2,name,5,8,1
28.6,female,3,8,2
30.1,name,3,8,2
33.4,female,5,8,1
31.1,name,3,8,2
32.9,female,5,8,4
31.7,name,3,8,2
35.9,female,4,8,2
34,name,5,8,4
34,female,4,8,2
29.8,name,5,8,4
35,female,5,8,1
28.3,name,5,8,2
36.7,female,3,8,3
36,name,3,8,2
30.7,female,4,8,3
34.9,name,3,8,3
33.8,female,4,8,1
32,name,4,8,4
31,female,3,8,4
33,name,4,8,3
35.3,female,5,8,3
28.1,name,5,8,2
30.7,female,3,8,3
32.6,name,4,8,1
27.7,female,4,8,4
27.2,name,4,8,3
29.4,female,5,8,1
,name,4,8,1
36.4,female,3,8,3
34.4,name,3,8,2
35,female,3,8,2
34.5,name,5,8,4
31.4,female,4,8,2
35.2,name,5,8,3
32.5,female,5,8,2
33.6,name,4,8,4
31.3,female,4,8,2
32.7,name,3,9,1
29.7,female,5,9,1
35,name,4,9,3
28.5,female,3,9,1
29.3,name,4,9,1
32,female,5,9,3
35.3,name,4,9,4
34.9,female,5,9,4
30.5,name,5,9,3
37.3,female,5,9,3
29.5,name,3,9,4
28.4,female,5,9,2
31.3,name,4,9,4
31.4,female,4,9,1
29.1,name,3,9,1
27.7,female,5,9,1
32.6,name,3,9,1
31.9,female,4,9,4
34.9,name,5,9,3
34.7,female,4,9,3
27.5,name,5,9,2
28.1,female,4,9,2
35.2,name,3,9,3
30.3,female,4,9,4
33.8,name,5,9,4
27.5,female,5,9,3
37.4,name,5,9,2
29.6,female,3,9,2
27.6,name,5,9,2
32.3,female,3,9,1
28.1,name,3,9,4
36.8,female,4,9,2
37.4,name,5,9,2
32.1,female,4,9,3
36.4,name,4,9,3
30.8,female,3,9,2
29.7,name,5,9,3
37,female,5,9,2
27.1,name,5,9,2
35.1,female,3,9,3
30.7,name,,9,1
28.3,female,3,9,1
27.9,name,5,9,3
28.5,female,5,9,4
27.7,name,4,9,2
34.5,female,5,10,3
29.1,name,4,10,2
32.4,female,5,10,1
36.2,name,4,10,4
38,female,3,10,4
27.9,name,5,10,3
27.8,female,5,10,3
29,name,3,10,4
27.6,female,3,10,4
27.9,name,5,10,1
27.9,female,5,10,1
28.6,name,3,10,1
28.1,female,5,10,3
28.5,name,3,10,1
27.4,female,4,10,2
27.3,name,3,10,3
28.7,female,5,10,4
28.8,name,4,10,2
28,female,3,10,4
27.6,name,4,10,4
27.8,female,5,10,1
27.8,name,3,10,4
28.5,female,5,10,2
27.2,name,5,10,4
27.3,female,5,10,2
28.9,name,3,10,4
27.4,female,5,10,4
28.3,name,3,10,4
27.6,female,5,10,1
29,name,3,10,1
29,female,5,10,
27.4,name,3,10,4
27,female,3,10,1
27.5,name,3,10,2
27.3,female,4,10,1
27.7,name,4,10,3
28.1,female,5,10,4
27.6,name,5,10,4
28.4,female,5,10,2
27.4,name,3,10,1
27.8,female,4,10,1
27.8,name,5,10,1
28.9,female,4,10,3
27.4,name,4,10,3
27.8,female,4,10,1
27,name,3,10,3
27.5,female,3,11,3
28.4,name,3,11,3
27.9,female,3,11,4
29,name,4,11,3
28.4,female,5,11,4
27.2,name,4,11,4
27.1,female,4,11,3
27.6,name,5,11,4
27.9,female,3,11,4
28.3,name,4,11,2
27.9,female,3,11,3
28.7,name,4,11,4
29,female,4,11,2
28,name,3,11,1
27.1,female,5,,2
27.8,name,4,11,3
27.2,female,5,11,2
28.7,name,4,11,2
27.5,female,3,11,2
28.8,name,5,11,2
27.7,female,4,11,4
27.2,name,5,11,3
27.8,female,5,11,3
28.2,name,4,11,4
28.1,female,4,11,4
28.2,name,3,11,2
27.1,female,5,11,1
28.2,name,4,11,1
28.5,female,5,11,2
27.7,name,3,11,2
27.6,female,4,11,4
28,name,5,11,4
27.9,female,5,11,4
27.4,name,3,11,1
27.2,female,5,11,1
27.6,name,5,11,2
27,female,3,11,3
27.2,name,5,11,2
28.4,female,3,11,4
27.1,name,4,11,4
28.8,female,3,11,2
28.3,name,3,11,2
27.5,female,5,11,3
28.1,name,5,11,4
27.1,female,4,11,2
28.3,name,4,11,3
27.3,female,5,11,4
28.5,name,3,11,3
27.4,female,3,12,3
27.3,name,5,12,3
27.7,female,5,12,4
28.6,name,3,12,2
28.7,female,3,12,1
28.7,name,5,12,3
27.4,female,3,12,1
27.4,name,5,12,3
27.8,female,4,12,4
28.7,name,3,12,3
27.4,female,5,12,3
27,name,3,12,2
27.1,female,3,12,4
27.7,name,5,12,4
27,female,,12,1
27.4,name,3,12,4
28.8,female,4,12,2
27.8,name,3,12,1
27.4,female,4,12,2
28.9,name,4,12,3
27,female,5,12,2
28.8,name,3,12,1
28.3,female,5,12,3
27,name,5,12,3
27.3,female,3,12,4
27.6,name,5,12,1
28.1,female,5,12,4
27.6,name,3,12,3
28.8,female,5,12,4
28.4,name,3,12,1
27,female,5,12,4
27,name,4,12,2
28,female,5,12,1
27.8,name,5,12,4
27,female,3,12,4
27.8,name,4,12,3
27.5,female,4,12,3
27.4,name,4,12,4
27.2,female,4,12,3
28.6,name,4,12,1
27.7,female,3,12,1
28.2,name,5,12,1
27.3,female,3,12,4
27,name,3,12,2
28.2,female,3,12,3
28.8,name,4,12,3
28.2,female,4,12,2
27.1,name,4,12,1
28.5,female,3,12,2
28.3,name,5,13,3
27.4,female,3,13,4
27.3,name,3,13,3
28.8,female,4,13,1
27.2,name,4,13,3
28,female,3,13,3
28.6,name,5,13,1
28,female,3,13,3
28,name,3,13,1
28.1,female,4,13,3
27.7,name,3,13,1
27.5,female,5,13,2
27.4,name,3,13,4
27.7,female,3,13,2
27.1,name,3,13,3
28.1,female,5,13,4
27.4,name,5,13,2
28.6,female,4,13,2
28.5,name,4,13,2
28.1,female,5,13,3
27.2,name,4,13,2
27.5,female,3,13,4
28.3,name,5,13,2
27.7,female,5,13,2
28.8,name,5,13,3
28.2,female,3,13,2
28.8,name,3,13,2
27.6,female,3,13,4
28.5,name,5,13,2
28.8,female,3,13,4
28.2,name,3,13,3
27.1,female,5,13,3
27.4,name,3,13,1
27.3,female,3,13,2
28.8,name,3,13,4
27.3,female,5,13,2
27.8,name,3,13,3
27.7,female,4,13,2
27.1,name,4,13,1
27.7,female,5,13,4
27.9,name,5,13,3
27.6,female,5,13,4
27.2,name,3,13,4
27.6,female,5,13,2
27.7,name,4,13,4
27.1,female,3,13,3
27.2,name,4,14,2
29,female,3,14,3
27.1,name,3,14,1
28.4,female,4,14,2
,name,3,14,1
27.5,female,4,14,1
27.6,name,4,14,2
27,female,4,14,3
27.6,name,3,14,4
28.8,female,4,14,2
28.7,name,3,14,4
27.5,female,5,14,2
27.1,name,3,14,4
28.4,female,5,14,1
28.1,name,4,14,1
27.1,female,3,14,2
27.8,name,5,14,1
27.3,female,5,14,2
27,name,3,14,4
28.3,female,5,14,3
27.8,name,5,14,1
28,female,3,14,4
27.8,name,5,14,1
23.5,female,3,14,4
24.5,name,3,14,3
27.9,female,5,14,3
20.4,name,5,14,4
23.3,female,3,14,1
27.5,name,4,14,1
22.6,female,5,14,1
23.2,name,5,14,2
25.1,female,5,14,2
26,name,4,14,2
28.5,female,3,14,2
26.5,name,3,14,4
22.3,female,4,14,4
21.9,name,3,14,3
23.3,female,4,14,3
28.9,name,3,14,1
25.9,female,5,14,4
23.2,name,3,14,2
26.1,female,3,14,1
27.2,name,3,14,2
23.4,female,4,14,4
22.6,name,5,14,1
28.6,female,5,14,3
21.8,name,3,14,1
21.5,female,5,14,1
24.2,name,3,15,2
29.6,female,4,15,4
21.4,name,4,15,4
26.7,female,5,15,1
22.6,name,4,15,2
29.4,female,4,15,4
27,name,4,15,2
26.1,female,3,15,2
22.8,name,5,15,2
28,female,5,15,4
26.8,name,4,15,3
23.9,female,4,15,3
21.9,name,3,15,2
25.5,female,4,15,1
25.5,name,5,15,1
21.8,female,4,15,1
22.9,name,3,15,3
28.7,female,5,15,1
29.8,name,4,15,2
21.3,female,3,15,4
23.7,name,5,15,1
23.5,female,5,15,4
24.4,name,5,15,1
28,female,3,15,4
25,name,3,15,4
27.5,female,5,15,3
23.8,name,3,15,2
22,female,4,15,4
23,name,4,15,2
,female,4,15,1
30,name,5,15,3
22.6,female,5,15,3
29.3,name,3,15,4
25.7,female,3,15,4
24.4,name,5,15,2
25.1,female,4,15,2
28.7,name,3,15,3
24.1,female,3,15,4
28.5,name,5,15,3
21,female,5,15,2
27,name,5,15,1
26.3,female,4,15,2
22.4,name,5,15,1
25.5,female,3,15,1
29,name,4,15,2
21.3,female,3,15,2
26.7,name,3,15,3
25.9,female,5,15,4
22.8,name,5,15,2
43.7,female,4,15,4
22.8,name,5,16,3
25.7,female,4,16,2
29.1,name,5,16,2
23.9,female,4,16,1
21,name,5,16,3
20.4,female,5,16,4
28.7,name,3,16,1
20,female,4,16,1
29.6,name,4,16,1
22.3,female,4,16,2
24.4,name,4,16,4
25.1,female,3,16,4
26.4,name,4,16,3
20.5,female,5,16,3
28.5,name,4,16,1
31.9,female,3,16,2
27.5,name,5,16,4
30.6,female,4,16,2
27.4,name,4,16,3
28,female,4,16,4
27.4,name,5,16,1
31.5,female,4,16,1
32,name,3,16,4
31,female,4,16,3
30.8,name,4,16,2
31,female,4,16,4
31.7,name,5,16,2
29.6,female,5,16,3
30.4,name,5,16,4
28.5,female,3,16,3
31,name,3,16,4
31.8,female,5,16,2
31.6,name,4,16,1
29.2,female,3,16,3
